,id_original,tipo,problema_texto,solucion_esperada
24,3068,reimaginado,"The clandestine dealer known as ""Byte Baron"" acquired a shipment of ""(4 * 5)"" neural interface implants from a dubious manufacturer. Upon inspection, he discovered that ""(10/2)"" units were compromised and unusable. After jettisoning the faulty modules, he proceeded to offload the remaining operational implants to his network of clients. ""Shadow Weaver"" acquired ""(9/3)"" units, ""Cipher"" obtained ""(14/2)"" units, and ""Ghost Protocol"" purchased an unspecified quantity. If all non-compromised implants were successfully distributed, how many units did Ghost Protocol acquire?","There were 20 - 5 = <<20-5=15>>15 units of non-defective smartphones.
There were 3 + 7 = <<3+7=10>>10 units sold to customers A and C.
So, 15 - 10 = <<15-10=5>>5 units were sold to customer B.
#### 5"
25,363,reimaginado,"The alchemist Kael paid ""(21/3)"" gold pieces for ""sqrt(4)"" vials of potent dragon's blood and ""(5/5)"" bundle of moonpetal herbs. His apprentice, Lyra, acquired ""(5/5)"" vial of dragon's blood and ""(5/5)"" bundle of moonpetal herbs for ""(10/2)"" gold pieces. What is the cost, in gold pieces, of a single bundle of moonpetal herbs?","Tony paid $7-$5= $<<7-5=2>>2 more than Arnold
We know he bought the same number of bananas as Arnold but that he bought 2-1=1 dozen apples more than Arnold
Therefore a dozen apples should cost $2
If Arnold paid $5 and $2 for a dozen apples then the bunch of bananas cost $5-$2=$<<5-2=3>>3
#### 3"
26,3188,reimaginado,"Commander Eva-27 hosts her two elder advisors and ""(9/3)"" junior crewmates in her starship's common mess hall. Each individual consumes ""(9/3)"" energy rations per solar cycle (a standard day). How many biodegradable ration trays are utilized by Eva-27 and her entire contingent over ""2^2"" solar cycles, assuming each person requires ""(10/5)"" trays per energy ration?","There were 1+2+3=<<1+2+3=6>>6 people at the house
That means they use 6*2=<<6*2=12>>12 plates per meal
So they use 12*3=<<12*3=36>>36 plates per day
That means they use 36*4=<<36*4=144>>144 plates for the visit
#### 144"
27,5573,reimaginado,"Elara the alchemist brews vials of healing potion for her adventuring party. On Starday (the first day of the week), she brings ""(3/3)"" vial to the guild hall. Each subsequent day until Moonday, she brings ""(3/3)"" more vial than she did on the preceding day. If by Sunsday (the last day before the next Starday) she counts that ""(14/2)"" vials remain in her inventory, how many vials did she originally brew at the start of the week?","On Tuesday, she brings in 1 + 1 = <<1+1=2>>2 muffins.
On Wednesday, she brings in 2 + 1 = <<2+1=3>>3 muffins.
On Thursday, she brings in 3 + 1 = <<3+1=4>>4 muffins.
On Friday, she brings in 4 + 1 = <<4+1=5>>5 muffins.
In total, she brought 1 + 2 + 3 +4 + 5 = <<1+2+3+4+5=15>>15 muffins to school to share with her friends.
She baked a total of 15 + 7 = <<15+7=22>>22 muffins.
#### 22"
28,4186,reimaginado,"A black-hat hacker, known only as ""Binary Jack,"" acquires encrypted data packets from the dark web for ""(10/2)"" credits each. The estimated average decrypted information value within each packet is ""(7/2)"" credits. Binary Jack dedicates ""(8 * 5)"" credits to purchasing these packets. What is the average amount of credits Binary Jack loses per packet transaction?","He bought 40/5=<<40/5=8>>8 boxes
He loses an average of 5-3.5=$<<5-3.5=1.50>>1.50 per box
So he loses an average of 1.5*8=$<<1.5*8=12>>12
#### 12"
29,3728,reimaginado,"The Archmage Eldrin is preparing for a complex summoning ritual. It takes him ""(4 * 5)"" minutes to inscribe the primary runes and ""(3/3) / 2^2"" of that time to etch the minor wards. Preparing the ritual circle requires ""(3 * 10)"" minutes, and allowing the ley lines to stabilize takes ""sqrt(4)"" times longer. The final step, activating the sigils, requires ""(100/10)""th of the combined time spent on the ritual circle and ley line stabilization. How many total minutes does Archmage Eldrin spend on this summoning ritual?","First find the amount of time it takes Marcus to saute the garlic and peppers: 20 minutes / 4 = <<20/4=5>>5 minutes
Then find the dough's resting time: 30 minutes * 2 = <<30*2=60>>60 minutes
Then add the kneading and resting time to find the total dough time: 60 minutes + 30 minutes = <<60+30=90>>90 minutes
Then multiply that amount by 1/10th to find the assembly time: 90 minutes / 10 = <<90/10=9>>9 minutes
Then add the saute time, knead time, rest time and assembly time to find the total time Marcus spends on the calzones: 9 minutes + 20 minutes + 5 minutes + 60 minutes + 30 minutes = <<9+20+5+60+30=124>>124 minutes
#### 124"
30,5914,reimaginado,"Botanist Lyra-7 manages two species of bio-luminescent flora on Ganymede Station. She maintains ""(1/2)"" of her total specimens as species Alpha and ""(1/2)"" as species Beta. Each Alpha specimen yields ""sqrt(100)"" energy-rich spores per lunar cycle, of which ""(3/5)"" are viable. Each Beta specimen produces ""(3 * 5)"" energy-rich spores, and ""(2/6)"" of these are viable. If Lyra-7 harvests ""(11 * 5)"" viable spores each lunar cycle, what is the total number of bio-luminescent flora specimens she maintains?","Each tree A gives her six good oranges a month 10 x .6 = <<10*.6=6>>6
Each tree B gives her five good oranges a month because 15 x (1/3) = <<15*(1/3)=5>>5
On average, a tree gives her 5.5 oranges a month because .5(6) + .5(5) = 5.5
She has ten total trees because 55 / 5.5 = <<55/5.5=10>>10
#### 10"
31,6094,reimaginado,"A corporate infiltrator, ""Ghostwire,"" monitors server activity. He spends an unknown duration analyzing the main security protocols, ""2^3"" times that duration observing data packets traversing the network's subnetworks, and ""(26/2)"" minutes scrutinizing the core database logs. If his total operational time logged on the server was ""(12 * 10)"" minutes and ""(100/10)"" minutes, how many minutes did Ghostwire spend analyzing the main security protocols?","First find the number of minutes in 2 hours: 2 hours * 60 minutes/hour = <<2*60=120>>120 minutes
Then add 10 minutes to that amount to find the total number of minutes Walter spent at the zoo: 120 minutes + 10 minutes = <<120+10=130>>130 minutes
Let s be the amount of time he spends looking at the seals and p be the amount of time he spends looking at the penguins. From the problem, we know that s + p + 13 = 130 and p = 8s.
Substituting the second equation into the first, we get s + 8s + 13 = 130
Combining like terms, we get 9s + 13 = 130
Subtracting 8 from both sides, we get 9s = 117
Dividing both sides by 9, we get s = 13
#### 13"
32,3253,reimaginado,"In the enchanted Whispering Woods, the ranger Elara took a census of apex predators. She counted ""(3 * 4)"" adult Shadow Panthers, ""(2 * 7)"" fearsome Saber-Toothed Prowlers, and an unquantified number of spectral Dire Wolves. If the number of Dire Wolves was exactly ""(3/6)"" the combined count of Shadow Panthers and Saber-Toothed Prowlers, what was the total population of these magnificent beasts in the Whispering Woods?","Half as many cougars as lions and tigers combined is (12+14)/2=13.
Then the total number of big cats at the feline sanctuary is 12+14+13=<<12+14+13=39>>39.
#### 39"
33,4868,reimaginado,"Commander Jax was logging encounters with exoplanetary fauna for xenobiological research. On his inaugural survey mission, he cataloged ""(4 * 7)"" mature Glimmerwing males and ""sqrt(4)"" times that number of Glimmerwing females. During his second survey, he observed ""2^3"" juvenile Sky-Serpents. On his third and final survey, he noted ""(1/2)"" the number of Glimmerwing males as on the first mission, and the identical number of Glimmerwing females as on the first mission. In total, how many unique alien creatures were cataloged during Commander Jax's monitoring expeditions?","On the first trip, Ishmael sees 28 male whales * 2 = <<28*2=56>>56 female whales.
So in total, he sees 28 male whales + 56 female whales = <<28+56=84>>84 whales on the first trip.
On the second trip, each baby whale travels with its parents which means it travels in a group of 1 baby whale + 2 parents = <<1+2=3>>3 whales/baby whale.
This means there are 8 baby whales * 3 whales/baby whale = <<8*3=24>>24 whales on the second trip.
On the third trip, there are half as many male whales as there were on the first trip, so there must be 28 male whales / 2 = <<28/2=14>>14 male whales.
Adding this to the female whales means he saws 14 males whales + 56 female whales = <<14+56=70>>70 whales on the third trip.
In total, Ishmael saw 84 + 24 + 70 = <<84+24+70=178>>178 whales across the three trips.
#### 178"
34,5083,reimaginado,"In the underground data-exchange market, the notorious broker ""Glimmerhand"" escalates the byte-price of a rare data-shard by ""(10/2)"" credits with every new offer. Two rival NetBarons engage in a fierce bidding war over a ""Neural Enigma"" shard, with its price soaring from ""(3 * 5)"" credits to ""(13 * 5)"" credits before it is finally secured. Assuming the NetBarons bid alternately, how many times did each NetBaron place a bid on the Neural Enigma shard?","The desk price was raised 65 - 15 = $<<65-15=50>>50.
At $5 per bid, there were 50 / 5 = <<50/5=10>>10 bids on the desk.
There were two bidders, so each bid 10 / 2 = <<10/2=5>>5 times on the desk.
#### 5"
35,5248,reimaginado,"The seasoned warrior, Sir Kael, could initially wield a greatsword requiring ""(270/2)"" units of strength. Through arduous training and discipline, he augmented his capability by ""(530/2)"" additional units of strength. Subsequently, he acquired a ""Gauntlet of Herculean Might,"" which bestows an additional ""(6000/10)%"" increase in his total strength. How many units of strength can Sir Kael now command with the Gauntlet?","He can lift 135+265=<<135+265=400>>400 pound without the bracer
The bracer adds 400*6=<<400*6=2400>>2400 pounds
So he can now squat 2400+400=<<2400+400=2800>>2800 pounds
#### 2800"
36,4161,reimaginado,"On the exoplanet nursery station, Botanist Xylos tends a vast array of bioluminescent flora, arranged in ""(10 * 5)"" orbital growth rings. Each growth ring accommodates ""(20^2)"" individual flora specimens. If Botanist Xylos harvests ""(3/5)"" of the mature specimens for xenobotanical research, how many flora specimens remain unharvested in the orbital growth rings?","If there are 50 rows of flowers with 400 flowers per row, there are 50*400 = <<50*400=20000>>20000 flowers in the garden,
Mr. Wells cuts flowers from 60% of the flowers, which is 60/100*20000 = <<60/100*20000=12000>>12000 flowers.
The total number of flowers remaining in the garden is 20000-12000 = <<20000-12000=8000>>8000
#### 8000"
37,6462,reimaginado,"In the Neo-Tokyo data-markets, a rare ""Deep-Dive"" data-slab costs ""2^2"" more credits than a standard ""Echo-Loop"" audio-chip. The Echo-Loop audio-chip is ""(300/10)%"" less expensive than a premium ""Sensory-Flux"" album priced at ""(4 * 5)"" credits. What is the credit cost of the Deep-Dive data-slab?","The CD is 30/100 * 20 = $<<30/100*20=6>>6 cheaper than the album.
So the cost of the CD is 20 - 6 = $<<20-6=14>>14.
The book is $4 more expensive than the CD, which means it cost 14 + 4 = $<<14+4=18>>18.
#### 18"
38,6031,reimaginado,"The combined chronological age of the ancient Arch-Lich Xylos and his apprentice, the necromancer Kael, is ""(6 * 9)"" centuries. The necromancer Kael is exactly ""(1/2)"" the age of the Arch-Lich Xylos. How many centuries old is the necromancer Kael?","Let x be Drew's age.
Sam is (1/2)x
x+(1/2)x=54
(3/2)x=54
3x=108
x=<<36=36>>36
Sam is 36/2=<<36/2=18>>18 years old
#### 18"
39,2710,reimaginado,"On the xenofauna research vessel, Sector A's habitat module contains ""(4/2)"" juvenile Terran Bovoids, ""(9/3)"" indigenous Martian Swine, and ""(12/2)"" specimens of Venusian Caprids. The chief xenobiologist plans to introduce ""(9/3)"" more Terran Bovoids, ""(10/2)"" additional Martian Swine, and ""(4/2)"" new Venusian Caprids to enhance genetic diversity. How many total xenofauna specimens will inhabit Sector A after these additions?","Currently, the farm has 2 + 3 + 6 = <<2+3+6=11>>11 animals.
The farmer will add 3 + 5 + 2 = <<3+5+2=10>>10 animals.
So, the farm will have 11 + 10 = <<11+10=21>>21 animals.
#### 21"
40,3111,hardcore,"Dr. Aris Thorne, an economic analyst for a burgeoning quantum computing startup, is evaluating the company's annual expenditure on office space. Currently, the startup occupies a 750.5 square foot facility where the base rent is $2.15 per square foot per month. Additionally, operating expenses (utilities, common area maintenance) amount to 18.5% of the base rent, and a pro-rata share of property taxes adds $0.125 per square foot per month. The company is considering a move to a new co-working hub which charges a flat rate of $2800.00 per month, inclusive of all standard operating expenses. However, this new arrangement necessitates an additional specialized collaboration software subscription costing $550.00 per quarter. Dr. Thorne has arranged a partnership where the company will share the flat monthly co-working cost and the quarterly software subscription cost equally with a collaborating startup. Assuming Dr. Thorne's startup currently bears the full cost of the old facility, what is the net *annual* financial advantage (savings or additional cost) for Dr. Thorne's startup if they make the switch?","$6170.79 || Step 1: Calculate the total monthly cost of the old facility.
   - Base Rent: $2.15/sq ft/month * 750.5 sq ft = $1613.575/month
   - Operating Expenses: 18.5% * $1613.575 = $298.511375/month
   - Property Tax: $0.125/sq ft/month * 750.5 sq ft = $93.8125/month
   - Total Old Monthly Cost: $1613.575 + $298.511375 + $93.8125 = $2005.898875/month
Step 2: Calculate the total annual cost of the old facility.
   - Total Old Annual Cost: $2005.898875/month * 12 months = $24070.7865/year
Step 3: Calculate the startup's annual share of the new co-working space cost.
   - New Co-working Monthly Cost: $2800.00/month
   - Startup's Share of Co-working Monthly Cost: $2800.00 / 2 = $1400.00/month
   - Startup's Share of Co-working Annual Cost: $1400.00/month * 12 months = $16800.00/year
Step 4: Calculate the startup's annual share of the specialized software subscription cost.
   - Quarterly Software Cost: $550.00/quarter
   - Annual Software Cost: $550.00/quarter * 4 quarters = $2200.00/year
   - Startup's Share of Annual Software Cost: $2200.00 / 2 = $1100.00/year
Step 5: Calculate the total new annual cost for Dr. Thorne's startup.
   - Total New Annual Cost for Startup: $16800.00 (co-working) + $1100.00 (software) = $17900.00/year
Step 6: Determine the net annual financial advantage.
   - Net Annual Advantage = Total Old Annual Cost - Total New Annual Cost
   - Net Annual Advantage = $24070.7865 - $17900.00 = $6170.7865"
41,7152,hardcore,"Dr. Evelyn Reed and her graduate students, Marcus and Lena, are analyzing the yield of different metallic nanoparticles from a multi-stage synthesis process. In his batch, Marcus isolated 12.3 milligrams (mg) of green copper nanoparticles and 3.75 mg of red gold nanoparticles. Lena's batch yielded 9.2 mg of red gold nanoparticles and 11.5 mg of blue silver nanoparticles. Dr. Reed's advanced process, aiming for higher yield, produced 1.75 times the *total mass* of red gold nanoparticles found by Marcus and Lena combined, and 2.5 times the mass of blue silver nanoparticles found by Lena, plus an additional 0.15 times the mass of green copper nanoparticles found by Marcus. What is the total mass (in milligrams) of *all* nanoparticles Dr. Reed's advanced process yielded?","53.2575 mg || Step 1: Calculate the total mass of red gold nanoparticles from Marcus and Lena.
   - Marcus Red Gold: 3.75 mg
   - Lena Red Gold: 9.2 mg
   - Total M+L Red Gold: 3.75 mg + 9.2 mg = 12.95 mg
Step 2: Identify the mass of blue silver nanoparticles from Lena.
   - Lena Blue Silver: 11.5 mg
Step 3: Identify the mass of green copper nanoparticles from Marcus.
   - Marcus Green Copper: 12.3 mg
Step 4: Calculate Dr. Reed's yield of red gold nanoparticles.
   - Dr. Reed Red Gold: 1.75 * 12.95 mg = 22.6625 mg
Step 5: Calculate Dr. Reed's yield of blue silver nanoparticles.
   - Dr. Reed Blue Silver: 2.5 * 11.5 mg = 28.75 mg
Step 6: Calculate Dr. Reed's yield of green copper nanoparticles.
   - Dr. Reed Green Copper: 0.15 * 12.3 mg = 1.845 mg
Step 7: Calculate the total mass of all nanoparticles yielded by Dr. Reed's process.
   - Total Dr. Reed's Yield: 22.6625 mg (Red Gold) + 28.75 mg (Blue Silver) + 1.845 mg (Green Copper) = 53.2575 mg"
42,491,hardcore,"Dr. Anya Petrova is programming an autonomous ground vehicle (AGV) for a critical supply run in a newly established lunar mining outpost. The AGV's precise route consists of three distinct segments:
1. From the Habitation Module to the Primary Excavation Site: 11.75 kilometers.
2. From the Primary Excavation Site to the Ore Processing Plant: 6,300 meters.
3. From the Ore Processing Plant to the Return Cargo Bay: 8.95 kilometers.
The AGV has already successfully completed 4.8 kilometers of its *first segment*. Due to unexpected terrain instability, it then had to navigate a diversion, adding an extra 1,250 meters to its travel *before* rejoining the original route at the *exact point* it left off. After rejoining, its navigation system registered it had traveled an *additional* 0.75 kilometers *along the original path* before a comms blackout forced a temporary halt. From its current halted position, what is the *total remaining distance*, in *kilometers*, that the AGV must travel to reach the final Return Cargo Bay, assuming it continues along the programmed route without further diversions?","21.45 km || Step 1: Convert all distances to a single unit (kilometers).
   - Segment 1: 11.75 km
   - Segment 2: 6,300 meters = 6.3 km
   - Segment 3: 8.95 km
   - Diversion: 1,250 meters = 1.25 km
Step 2: Calculate the total programmed route distance.
   - Total Route Distance = 11.75 km + 6.3 km + 8.95 km = 27.0 km
Step 3: Determine the distance traveled *along the original path* before the diversion.
   - Initial travel along path: 4.8 km
Step 4: Determine the distance traveled *along the original path* after rejoining.
   - Additional travel along path: 0.75 km
Step 5: Calculate the AGV's *effective current position* along the original planned path.
   - Effective Current Position = 4.8 km (before diversion) + 0.75 km (after rejoining) = 5.55 km
Step 6: Calculate the total remaining distance *along the original path* to the final destination.
   - Remaining Distance = Total Route Distance - Effective Current Position
   - Remaining Distance = 27.0 km - 5.55 km = 21.45 km"
